holdout,model,best_val_cindex_reinhard,test_cindex_reinhard
tss_holdout_A2_BH,abmil,0.6737220447284346,0.6014492753623188
tss_holdout_A2_BH,transmil,0.7056709265175719,0.5072463768115942
tss_holdout_A2_E2,abmil,0.5,0.6823671497584541
tss_holdout_A2_E2,transmil,0.6848958333333334,0.6243961352657005
tss_holdout_BH_A2,abmil,0.6014492753623188,0.6737220447284346
tss_holdout_BH_A2,transmil,0.5881642512077294,0.6633386581469649
tss_holdout_BH_E2,abmil,0.4661458333333333,0.6880990415335463
tss_holdout_BH_E2,transmil,0.5755208333333334,0.740814696485623
tss_holdout_E2_A2,abmil,0.6835748792270532,0.5
tss_holdout_E2_A2,transmil,0.6545893719806763,0.6822916666666666
tss_holdout_E2_BH,abmil,0.6924920127795527,0.4661458333333333
tss_holdout_E2_BH,transmil,0.7507987220447284,0.5729166666666666
